Scheme Name,Plan,Category Name,Crisil Rank,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
DSP Top 100 Equity Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,3,2944.20,1%,2%,3%,12%,17%,15%,7%,16%,13%,13%
DSP Top 100 Equity Fund - Regular Plan - Growth,Regular,Large Cap Fund,3,2944.20,1%,2%,3%,12%,16%,14%,6%,15%,12%,12%
Bandhan Core Equity Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,4,2889.52,2%,2%,8%,22%,24%,24%,14%,26%,18%,17%
Bandhan Core Equity Fund - Regular Plan - Growth,Regular,Large & Mid Cap Fund,4,2889.52,2%,2%,7%,21%,23%,22%,13%,25%,16%,15%
Invesco India Smallcap Fund - Direct - Growth,Direct Plan,Small Cap Fund,2,2869.24,3%,7%,15%,31%,37%,38%,18%,39%,26%,
Invesco India Smallcap Fund - Growth,Regular,Small Cap Fund,2,2869.24,3%,7%,14%,30%,36%,36%,16%,37%,24%,
Franklin India Equity Advantage Fund - Direct - Growth,Direct Plan,Large & Mid Cap Fund,1,2775.96,1%,1%,3%,14%,16%,15%,4%,21%,14%,15%
Franklin India Equity Advantage Fund - Growth,Regular,Large & Mid Cap Fund,1,2775.96,1%,1%,3%,13%,15%,14%,3%,20%,13%,14%
SBI Nifty 10yr Benchmark G-sec ETF,Regular,Index Funds/ETFs,-,2724.96,0%,1%,1%,2%,7%,7%,3%,3%,6%,
UTI Nifty200 Momentum 30 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,2657.81,3%,4%,11%,22%,24%,20%,7%,,,
UTI Nifty200 Momentum 30 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,2657.81,3%,4%,11%,22%,24%,20%,6%,,,
Motilal Oswal S&P 500 Index Fund - Direct Plan Growth,Direct Plan,Index Funds/ETFs,-,2654.27,3%,4%,0%,11%,18%,18%,4%,13%,,
Motilal Oswal S&P 500 Index Fund - Regular Plan Growth,Regular,Index Funds/ETFs,-,2654.27,3%,4%,0%,10%,18%,17%,4%,12%,,
HDFC Nifty 50 ETF,Regular,Index Funds/ETFs,4,2634.43,1%,0%,1%,8%,10%,8%,5%,17%,14%,
Kotak Gold ETF Fund,Regular,Index Funds/ETFs,-,2627.22,0%,4%,3%,1%,8%,12%,10%,5%,13%,7%
Sundaram Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,3,2626.73,3%,3%,11%,28%,35%,35%,16%,36%,22%,22%
Sundaram Small Cap Fund - Growth,Regular,Small Cap Fund,3,2626.73,3%,3%,11%,27%,34%,34%,15%,35%,21%,21%
Nippon India ETF S&P BSE Sensex,Regular,Index Funds/ETFs,3,2601.50,1%,1%,1%,7%,9%,8%,5%,16%,15%,
Aditya Birla Sun Life Nifty Bank ETF,Regular,Index Funds/ETFs,-,2540.10,1%,0%,0%,1%,4%,5%,8%,16%,,
Tata Mid Cap Growth Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,3,2521.49,2%,2%,8%,26%,31%,30%,14%,28%,22%,22%
Tata Mid Cap Growth Fund - Regular Plan - Growth,Regular,Mid Cap Fund,3,2521.49,2%,2%,7%,25%,30%,28%,12%,27%,20%,21%
UTI Nifty Next 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,2478.17,1%,3%,6%,14%,10%,7%,3%,17%,12%,
UTI Nifty Next 50 Index Fund - Growth,Regular,Index Funds/ETFs,-,2478.17,1%,3%,5%,13%,10%,7%,2%,17%,11%,
Edelweiss Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,3,2473.18,2%,4%,11%,27%,34%,34%,18%,39%,,
Edelweiss Small Cap Fund - Regular Plan - Growth,Regular,Small Cap Fund,3,2473.18,2%,4%,10%,26%,32%,32%,17%,36%,,
SBI - ETF Gold,Regular,Index Funds/ETFs,-,2468.54,0%,5%,3%,1%,9%,13%,10%,5%,13%,7%
Kotak Nifty SDL Apr 2032 Top 12 Equal Weight Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,2467.12,0%,1%,1%,2%,6%,8%,,,,
Kotak Nifty SDL Apr 2032 Top 12 Equal Weight Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,2467.12,0%,1%,1%,2%,6%,8%,,,,
Motilal Oswal Large and Midcap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,5,2390.37,1%,2%,10%,22%,28%,30%,13%,28%,,
Motilal Oswal Large and Midcap Fund - Regular Plan - Growth,Regular,Large & Mid Cap Fund,4,2390.37,1%,2%,9%,21%,26%,28%,12%,26%,,
WhiteOak Capital Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,-,2374.57,1%,1%,6%,19%,22%,20%,,,,
WhiteOak Capital Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,-,2374.57,1%,1%,5%,18%,20%,18%,,,,
Tata Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,3,2355.37,2%,1%,6%,17%,19%,18%,6%,18%,15%,
Tata Flexi Cap Fund - Growth,Regular,Flexi Cap Fund,3,2355.37,2%,1%,5%,16%,18%,16%,5%,16%,13%,
HSBC Large & Midcap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,3,2301.63,1%,1%,7%,17%,23%,21%,9%,22%,,
HSBC Large & Midcap Fund - Growth,Regular,Large & Mid Cap Fund,3,2301.63,1%,1%,7%,17%,22%,19%,7%,20%,,
HDFC Gold Exchange Traded Fund,Regular,Index Funds/ETFs,-,2287.29,0%,4%,3%,2%,8%,12%,10%,5%,13%,7%
Mahindra Manulife Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,-,2240.37,3%,4%,14%,36%,46%,,,,,
Mahindra Manulife Small Cap Fund - Regular Plan - Growth,Regular,Small Cap Fund,-,2240.37,3%,4%,13%,35%,44%,,,,,
Bandhan Emerging Businesses Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,3,2228.49,3%,3%,14%,35%,40%,42%,16%,34%,,
Bandhan Emerging Businesses Fund - Regular Plan - Growth,Regular,Small Cap Fund,3,2228.49,3%,3%,14%,34%,38%,40%,14%,31%,,
Edelweiss Large and Mid Cap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,3,2220.88,2%,2%,6%,17%,21%,18%,10%,24%,19%,18%
Edelweiss Large and Mid Cap Fund - Regular Plan - Growth,Regular,Large & Mid Cap Fund,3,2220.88,2%,2%,6%,16%,19%,16%,8%,22%,17%,16%
LIC MF Large & Mid Cap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,2,2188.25,2%,1%,7%,16%,17%,14%,6%,20%,17%,
LIC MF Large & Mid Cap Fund - Growth,Regular,Large & Mid Cap Fund,2,2188.25,2%,1%,6%,16%,16%,13%,5%,18%,15%,
HDFC Nifty Bank ETF,Regular,Index Funds/ETFs,-,2168.35,1%,0%,0%,1%,4%,5%,8%,16%,,
Quant Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,-,2162.68,2%,2%,6%,17%,16%,16%,12%,34%,25%,24%
Quant Flexi Cap Fund - Growth,Regular,Flexi Cap Fund,-,2162.68,2%,2%,6%,16%,14%,14%,11%,33%,24%,23%
SBI Crisil IBX Gilt Index - June 2036 Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,2132.96,0%,1%,1%,1%,7%,8%,,,,
SBI Crisil IBX Gilt Index - June 2036 Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,2132.96,0%,1%,1%,1%,7%,8%,,,,
ICICI Prudential Nifty 100 Low Volatility 30 ETF,Regular,Index Funds/ETFs,-,2065.85,1%,2%,3%,12%,17%,15%,8%,17%,14%,
Sundaram Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,-,1980.40,1%,1%,4%,13%,16%,15%,,,,
Sundaram Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,-,1980.40,1%,0%,3%,12%,14%,13%,,,,
UTI Large & Mid Cap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,4,1979.89,1%,1%,6%,19%,23%,22%,11%,27%,17%,15%
UTI Large & Mid Cap Fund - Growth,Regular,Large & Mid Cap Fund,5,1979.89,1%,1%,5%,19%,23%,21%,10%,26%,16%,15%
ICICI Prudential Nifty Private Banks ETF,Regular,Index Funds/ETFs,-,1902.54,1%,0%,1%,4%,6%,7%,8%,14%,,
Kotak Gold ETF Fund,Regular,Index Funds/ETFs,-,1857.65,0%,4%,3%,1%,8%,12%,10%,5%,13%,7%
Nippon India ETF Nifty IT,Regular,Index Funds/ETFs,-,1768.53,2%,1%,2%,13%,12%,7%,6%,15%,,
Aditya Birla Sun Life Nifty 50 ETF,Regular,Index Funds/ETFs,4,1756.09,1%,0%,1%,8%,10%,8%,5%,17%,14%,14%
ICICI Prudential Nifty SDL Sep 2027 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,1720.05,0%,1%,1%,3%,6%,7%,,,,
ICICI Prudential Nifty SDL Sep 2027 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,1720.05,0%,1%,1%,3%,6%,7%,,,,
Mirae Asset Nifty 50 ETF (MAN50ETF),Regular,Index Funds/ETFs,4,1668.01,1%,0%,1%,8%,10%,8%,5%,17%,,
Bajaj Finserv Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,-,1663.01,1%,2%,4%,,,,,,,
Bajaj Finserv Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,-,1663.01,1%,2%,4%,,,,,,,
PGIM India Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,-,1653.75,2%,3%,9%,22%,19%,16%,7%,,,
PGIM India Small Cap Fund - Regular Plan - Growth,Regular,Small Cap Fund,-,1653.75,2%,3%,8%,21%,17%,14%,6%,,,
ITI Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,1,1647.13,3%,5%,15%,33%,40%,41%,12%,29%,,
ITI Small Cap Fund - Regular Plan - Growth,Regular,Small Cap Fund,1,1647.13,3%,5%,14%,32%,38%,39%,10%,26%,,
Union Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,4,1621.04,2%,2%,6%,17%,19%,18%,7%,22%,18%,15%
Union Flexi Cap Fund - Growth,Regular,Flexi Cap Fund,4,1621.04,2%,2%,6%,16%,18%,16%,6%,21%,17%,14%
Canara Robeco Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,-,1613.10,1%,2%,7%,20%,24%,,,,,
Canara Robeco Mid Cap Fund - Regular Plan - Growth,Regular,Mid Cap Fund,-,1613.10,1%,2%,7%,19%,22%,,,,,
Tata Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,3,1581.98,2%,0%,2%,10%,12%,11%,6%,20%,15%,14%
Tata Large Cap Fund - Regular Plan - Growth,Regular,Large Cap Fund,4,1581.98,2%,0%,2%,9%,11%,10%,5%,19%,14%,13%
Mahindra Manulife Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,4,1553.59,2%,3%,11%,28%,35%,34%,16%,33%,23%,
Mahindra Manulife Mid Cap Fund - Regular Plan - Growth,Regular,Mid Cap Fund,4,1553.59,2%,2%,11%,27%,33%,32%,14%,31%,21%,
Mirae Asset NYSE FANG+ ETF - Regular Plan - Growth,Regular,Index Funds/ETFs,-,1509.63,4%,8%,9%,29%,84%,74%,7%,,,
HSBC Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,3,1502.31,2%,2%,4%,12%,14%,13%,6%,16%,15%,14%
HSBC Large Cap Fund - Growth,Regular,Large Cap Fund,2,1502.31,2%,1%,4%,12%,13%,12%,5%,15%,13%,13%
Baroda BNP Paribas Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,4,1484.03,1%,0%,3%,11%,14%,12%,7%,18%,16%,16%
Baroda BNP Paribas Large Cap Fund - Regular Plan - Growth,Regular,Large Cap Fund,3,1484.03,1%,0%,3%,11%,13%,11%,6%,16%,15%,15%
Baroda BNP Paribas Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,3,1470.90,1%,3%,8%,22%,25%,24%,12%,30%,21%,21%
Baroda BNP Paribas Mid Cap Fund - Regular Plan - Growth,Regular,Mid Cap Fund,3,1470.90,1%,2%,7%,21%,23%,22%,10%,28%,19%,19%
Mahindra Manulife Large & Mid Cap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,4,1416.04,2%,1%,8%,22%,22%,21%,10%,28%,,
Mahindra Manulife Large & Mid Cap Fund - Regular Plan - Growth,Regular,Large & Mid Cap Fund,4,1416.04,2%,1%,7%,21%,21%,19%,8%,25%,,
Nippon India ETF Nifty 8-13 yr G-Sec Long Term Gilt,Regular,Index Funds/ETFs,-,1407.85,0%,1%,1%,2%,7%,7%,4%,3%,7%,
UTI Nifty Next 50 Exchange Traded Fund,Regular,Index Funds/ETFs,-,1364.35,1%,3%,6%,14%,11%,7%,3%,17%,12%,
Edelweiss Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,3,1297.48,2%,2%,5%,14%,18%,15%,8%,22%,17%,
Edelweiss Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,3,1297.48,2%,2%,4%,13%,16%,14%,7%,20%,15%,
ICICI Prudential Nifty IT ETF,Regular,Index Funds/ETFs,-,1272.30,2%,1%,2%,13%,12%,7%,6%,15%,,
LIC MF Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,1,1249.68,1%,0%,2%,7%,8%,6%,2%,14%,14%,13%
LIC MF Large Cap Fund - Growth,Regular,Large Cap Fund,1,1249.68,1%,0%,1%,6%,7%,5%,0%,13%,12%,12%
Mirae Asset Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,-,1222.27,1%,0%,3%,13%,,,,,,
Mirae Asset Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,-,1222.27,1%,0%,3%,12%,,,,,,
Baroda BNP Paribas Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,-,1185.45,2%,2%,6%,15%,19%,16%,,,,
Baroda BNP Paribas Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,-,1185.45,2%,2%,5%,14%,17%,14%,,,,
Nippon India Silver ETF,Regular,Index Funds/ETFs,-,1180.92,4%,5%,3%,0%,2%,13%,,,,
SBI Crisil IBX SDL Index - September 2027 Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,1173.84,0%,1%,1%,3%,6%,7%,,,,
SBI Crisil IBX SDL Index - September 2027 Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,1173.84,0%,1%,1%,3%,6%,7%,,,,
Union Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,3,1138.72,2%,3%,13%,34%,39%,34%,18%,37%,25%,
Union Small Cap Fund - Regular Plan - Growth,Regular,Small Cap Fund,3,1138.72,2%,3%,12%,33%,38%,32%,17%,35%,24%,
Quant Large and Mid Cap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,3,1127.30,2%,3%,8%,21%,18%,20%,15%,30%,21%,22%
Quant Large and Mid Cap Fund - Growth,Regular,Large & Mid Cap Fund,3,1127.30,2%,3%,8%,20%,17%,18%,13%,28%,19%,21%
Bandhan Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,2,1122.75,2%,1%,3%,10%,15%,12%,5%,17%,15%,13%
Bandhan Large Cap Fund - Regular Plan - Growth,Regular,Large Cap Fund,2,1122.75,2%,1%,3%,9%,14%,11%,3%,15%,13%,12%
ICICI Prudential S&P BSE Sensex Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,2,1120.07,1%,1%,1%,6%,9%,7%,5%,16%,14%,
ICICI Prudential S&P BSE Sensex Index Fund - Growth,Regular,Index Funds/ETFs,2,1120.07,1%,1%,1%,6%,9%,7%,5%,16%,14%,
Invesco India Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,-,1111.64,2%,3%,9%,20%,24%,22%,,,,
Invesco India Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,-,1111.64,2%,3%,9%,19%,22%,20%,,,,
WhiteOak Capital Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,-,1109.64,2%,3%,9%,28%,32%,31%,,,,
WhiteOak Capital Mid Cap Fund - Regular Plan - Growth,Regular,Mid Cap Fund,-,1109.64,2%,3%,9%,27%,30%,29%,,,,
Baroda BNP Paribas Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,-,1106.25,2%,,,,,,,,,
Baroda BNP Paribas Small Cap Fund - Regular Plan - Growth,Regular,Small Cap Fund,-,1106.25,2%,,,,,,,,,
LIC MF Nifty 8-13 yr G-Sec ETF,Regular,Index Funds/ETFs,-,1071.41,0%,1%,1%,2%,7%,7%,4%,3%,7%,
Navi Nifty 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,1061.37,1%,0%,1%,8%,10%,8%,5%,,,
Navi Nifty 50 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,1061.37,1%,0%,1%,8%,9%,8%,5%,,,
Nippon India Index Fund - Direct Plan - Nifty 50 Plan - Growth,Direct Plan,Index Funds/ETFs,3,1036.82,1%,0%,1%,8%,10%,8%,5%,17%,14%,13%
Nippon India Index Fund - Nifty 50 Plan - Growth,Regular,Index Funds/ETFs,3,1036.82,1%,0%,1%,8%,9%,7%,5%,16%,13%,13%
Mahindra Manulife Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,-,1023.13,1%,0%,4%,16%,21%,20%,11%,,,
Mahindra Manulife Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,-,1023.13,1%,0%,4%,15%,19%,18%,9%,,,
Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,1013.01,2%,2%,9%,26%,30%,30%,14%,31%,,
Motilal Oswal Nifty Midcap 150 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,1013.01,2%,2%,9%,26%,29%,29%,13%,30%,,
Axis Nifty 100 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,971.98,1%,0%,2%,9%,9%,7%,4%,16%,,
Axis Nifty 100 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,971.98,1%,0%,2%,8%,8%,6%,4%,15%,,
Bandhan Nifty 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,2,931.71,1%,0%,1%,8%,10%,8%,5%,17%,14%,14%
Bandhan Nifty 50 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,2,931.71,1%,0%,1%,8%,9%,7%,5%,16%,14%,13%
Nippon India ETF Nifty Midcap 150,Regular,Index Funds/ETFs,-,917.45,2%,2%,9%,26%,30%,30%,14%,31%,,
HDFC NIFTY 50 ETF,Regular,Index Funds/ETFs,4,896.77,1%,0%,1%,8%,10%,8%,5%,17%,14%,
ICICI Prudential Silver ETF,Regular,Index Funds/ETFs,-,882.91,4%,5%,3%,0%,2%,12%,,,,
Bandhan Midcap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,-,862.02,1%,2%,8%,22%,27%,26%,,,,
Bandhan Midcap Fund - Regular Plan - Growth,Regular,Mid Cap Fund,-,862.02,1%,2%,8%,21%,25%,24%,,,,
UTI Gold Exchange Traded Fund,Regular,Index Funds/ETFs,-,855.68,0%,5%,3%,1%,9%,13%,10%,5%,13%,7%
ICICI Prudential NASDAQ 100 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,851.73,3%,5%,4%,19%,45%,36%,5%,,,
ICICI Prudential NASDAQ 100 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,851.73,3%,5%,4%,19%,45%,35%,4%,,,
ICICI Prudential Nifty SDL Dec 2028 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,851.51,0%,1%,1%,3%,6%,7%,,,,
ICICI Prudential Nifty SDL Dec 2028 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,851.51,0%,1%,1%,2%,6%,7%,,,,
Nippon India Nifty Midcap 150 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,848.47,2%,2%,9%,26%,30%,30%,14%,,,
Nippon India Nifty Midcap 150 Index Fund - Growth,Regular,Index Funds/ETFs,-,848.47,2%,2%,9%,26%,29%,29%,13%,,,
LIC MF Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,3,844.20,1%,0%,5%,14%,20%,18%,7%,16%,13%,12%
LIC MF Flexi Cap Fund - Growth,Regular,Flexi Cap Fund,3,844.20,1%,0%,5%,14%,19%,17%,6%,15%,13%,11%
Union Midcap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,3,837.77,2%,2%,8%,21%,25%,23%,11%,30%,,
Union Midcap Fund - Regular Plan - Growth,Regular,Mid Cap Fund,3,837.77,2%,2%,7%,20%,24%,21%,9%,28%,,
Baroda BNP Paribas Large and Mid Cap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,3,824.65,2%,2%,6%,16%,18%,18%,8%,24%,,
Baroda BNP Paribas Large and Mid Cap Fund - Regular Plan - Growth,Regular,Large & Mid Cap Fund,3,824.65,2%,2%,5%,15%,17%,16%,6%,22%,,
Edelweiss Crisil IBX 50:50 Gilt Plus SDL April 2037 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,800.11,0%,1%,1%,1%,7%,8%,,,,
Edelweiss Crisil IBX 50:50 Gilt Plus SDL April 2037 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,800.11,0%,1%,1%,1%,6%,7%,,,,
Axis Gold ETF Fund,Regular,Index Funds/ETFs,-,791.70,0%,5%,3%,1%,9%,13%,10%,5%,14%,6%
Invesco India Largecap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,3,785.59,1%,1%,3%,13%,16%,14%,5%,19%,16%,16%
Invesco India Largecap Fund - Growth,Regular,Large Cap Fund,3,785.59,1%,1%,3%,12%,15%,12%,3%,17%,14%,14%
DSP Nifty 50 Equal Weight Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,752.26,2%,1%,5%,14%,17%,15%,10%,24%,16%,
DSP Nifty 50 Equal Weight Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,752.26,2%,1%,5%,14%,16%,14%,9%,23%,15%,
Samco Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,-,737.95,2%,0%,3%,16%,18%,15%,,,,
Samco Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,-,737.95,2%,0%,3%,15%,17%,14%,,,,
Bank of India Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,3,723.41,3%,4%,16%,32%,37%,37%,18%,39%,,
Bank of India Small Cap Fund - Regular Plan - Growth,Regular,Small Cap Fund,3,723.41,3%,4%,16%,31%,36%,35%,17%,36%,,
Nippon India Nifty Smallcap 250 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,719.41,3%,4%,14%,33%,36%,36%,15%,35%,,
Nippon India Nifty Smallcap 250 Index Fund - Growth,Regular,Index Funds/ETFs,-,719.41,3%,4%,14%,33%,35%,36%,14%,34%,,
JM Flexi Cap Fund - Direct - Growth,Direct Plan,Flexi Cap Fund,5,717.77,2%,2%,8%,25%,28%,28%,16%,28%,21%,20%
JM Flexi Cap Fund - Growth,Regular,Flexi Cap Fund,5,717.77,2%,2%,8%,24%,27%,27%,15%,27%,20%,19%
LIC MF Nifty 50 ETF,Regular,Index Funds/ETFs,3,717.30,1%,0%,1%,8%,10%,8%,5%,17%,14%,
HDFC Nifty50 Equal Weight Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,717.04,2%,1%,5%,14%,17%,15%,10%,,,
HDFC Nifty50 Equal Weight Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,717.04,2%,1%,5%,14%,16%,14%,9%,,,
LIC MF S&P BSE Sensex ETF,Regular,Index Funds/ETFs,3,672.84,1%,1%,1%,6%,9%,7%,5%,16%,14%,
Navi NASDAQ 100 Fund of Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,670.83,3%,5%,4%,19%,46%,37%,,,,
Navi NASDAQ 100 Fund of Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,670.83,3%,5%,4%,19%,46%,37%,,,,
Aditya Birla Sun Life Nifty 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,3,627.73,1%,0%,1%,8%,10%,8%,5%,17%,14%,13%
Aditya Birla Sun Life Nifty 50 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,3,627.73,1%,0%,1%,8%,9%,7%,5%,16%,14%,13%
HDFC Nifty G-Sec Jun 2036 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,613.77,0%,1%,1%,1%,,,,,,
HDFC Nifty G-Sec Jun 2036 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,613.77,0%,1%,1%,1%,,,,,,
UTI Gold Exchange Traded Fund,Regular,Index Funds/ETFs,-,595.84,0%,5%,3%,1%,9%,13%,10%,5%,13%,7%
LIC MF Nifty 100 ETF,Regular,Index Funds/ETFs,-,592.34,1%,0%,2%,9%,9%,6%,4%,16%,14%,
Mirae Asset S&P 500 Top 50 ETF - Regular Plan - Growth,Regular,Index Funds/ETFs,-,559.39,2%,4%,4%,15%,32%,27%,6%,,,
Edelweiss Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,4,557.48,1%,1%,4%,12%,16%,15%,9%,19%,16%,16%
Edelweiss Large Cap Fund - Growth,Regular,Large Cap Fund,4,557.48,1%,1%,3%,11%,15%,13%,7%,17%,15%,14%
Motilal Oswal Nifty 500 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,548.29,1%,1%,4%,13%,14%,12%,7%,20%,,
Motilal Oswal Nifty 500 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,548.29,1%,1%,4%,13%,13%,11%,6%,19%,,
Franklin India NSE Nifty 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,1,539.91,1%,0%,1%,8%,9%,8%,5%,16%,14%,13%
Union Large and Mid Cap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,3,539.20,2%,1%,6%,17%,19%,17%,7%,22%,,
Union Large and Mid Cap Fund - Regular Plan - Growth,Regular,Large & Mid Cap Fund,3,539.20,2%,1%,5%,16%,18%,16%,6%,20%,,
JM Midcap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,-,536.63,2%,1%,8%,30%,37%,,,,,
JM Midcap Fund - Regular Plan - Growth,Regular,Mid Cap Fund,-,536.63,2%,1%,8%,29%,34%,,,,,
Nippon India Index Fund - Direct Plan - S&P BSE Sensex Plan - Growth,Direct Plan,Index Funds/ETFs,3,535.53,1%,1%,1%,6%,9%,7%,5%,16%,14%,13%
Nippon India Index Fund - S&P BSE Sensex Plan - Growth,Regular,Index Funds/ETFs,3,535.53,1%,1%,1%,6%,9%,7%,5%,15%,14%,13%
NJ Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,-,529.73,2%,4%,,,,,,,,
